City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Mathbaria,0,BD,1585526597,41.0,22.29,89.96,24.41,1.77
Punta Arenas,75,CL,1585526598,57.0,-53.15,-70.92,11.0,5.7
Praia,40,CV,1585526598,78.0,14.92,-23.51,22.0,7.7
Lebu,0,CL,1585526598,68.0,-37.62,-73.65,12.86,7.69
Ketchikan,90,US,1585526419,93.0,55.34,-131.65,4.0,10.3
Carnarvon,72,AU,1585526599,78.0,-24.87,113.63,22.0,5.1
Shahreza,54,IR,1585526600,35.0,32.03,51.88,7.88,2.3
Hobart,75,AU,1585526406,51.0,-42.88,147.33,17.78,8.2
Ushuaia,40,AR,1585526591,57.0,-54.8,-68.3,11.0,3.6
Coquimbo,81,CL,1585526370,82.0,-29.95,-71.34,17.0,3.6
Mâncio Lima,75,BR,1585526601,100.0,-7.61,-72.9,23.0,0.98
Owando,73,CG,1585526602,68.0,-0.48,15.9,24.38,0.53
Jamestown,90,US,1585526327,75.0,42.1,-79.24,13.33,8.7
Tadine,14,NC,1585526602,68.0,-21.55,167.88,26.28,8.63
Esperance,50,AU,1585526603,100.0,-33.87,121.9,12.0,3.6
Qaanaaq,98,GL,1585526604,88.0,77.48,-69.36,-19.69,1.56
Saint Paul Harbor,1,US,1585526605,40.0,57.79,-152.41,1.0,5.7
Pevek,100,RU,1585526606,89.0,69.7,170.31,-8.06,13.58
Saint-Philippe,15,RE,1585526606,78.0,-21.36,55.77,26.0,2.1
Cabo San Lucas,40,MX,1585526354,53.0,22.89,-109.91,25.0,3.6
Chokurdakh,100,RU,1585526608,95.0,70.63,147.92,-13.53,4.31
Zhigansk,97,RU,1585526608,94.0,66.77,123.37,-14.02,2.67
Nikolskoye,2,RU,1585526609,67.0,59.7,30.79,-2.78,2.0
Vaini,75,TO,1585526609,94.0,-21.2,-175.2,26.0,2.6
Te Anau,2,NZ,1585526610,50.0,-45.42,167.72,15.36,0.24
Constitución,3,CL,1585526610,70.0,-35.33,-72.42,14.45,6.05
Cape Town,0,ZA,1585526462,82.0,-33.93,18.42,16.11,4.1
Hilo,90,US,1585526545,83.0,19.73,-155.09,22.0,5.1
Mar del Plata,48,AR,1585526352,88.0,-38.0,-57.56,19.44,4.1
Avarua,20,CK,1585526436,70.0,-21.21,-159.78,30.0,4.1
Mataura,18,NZ,1585526611,70.0,-46.19,168.86,17.78,2.68
Port Alfred,43,ZA,1585526612,97.0,-33.59,26.89,16.67,0.34
New Norfolk,75,AU,1585526612,51.0,-42.78,147.06,17.78,8.2
Eenhana,100,NA,1585526612,65.0,-17.47,16.33,20.12,3.29
Albany,90,US,1585526372,70.0,42.6,-73.97,10.0,1.5
Pachino,90,IT,1585526613,81.0,36.72,15.09,12.22,0.5
Grand Gaube,40,MU,1585526613,88.0,-20.01,57.66,27.0,3.6
Severo-Kuril'sk,50,RU,1585526421,90.0,50.68,156.12,-0.5,4.69
Yangi Marg`ilon,92,UZ,1585526614,34.0,40.43,71.72,10.0,2.1
Tuktoyaktuk,40,CA,1585526614,69.0,69.45,-133.04,-25.0,4.6
Atuona,7,PF,1585526363,76.0,-9.8,-139.03,28.34,6.92
Sampit,100,ID,1585526614,95.0,-2.53,112.95,25.1,1.0
Ribeira Grande,49,PT,1585526615,79.0,38.52,-28.7,14.81,7.25
Jianning,75,CN,1585526341,100.0,27.83,113.15,8.0,2.0
Castro,63,BR,1585526615,72.0,-24.79,-50.01,17.16,0.58
Komatipoort,2,ZA,1585526616,94.0,-25.43,31.95,18.89,0.77
Ilulissat,100,GL,1585526616,100.0,69.22,-51.1,-1.0,2.6
Hithadhoo,99,MV,1585526370,64.0,-0.6,73.08,28.73,4.3
Xichang,10,CN,1585526543,37.0,27.9,102.26,11.66,0.91
Vila Velha,61,BR,1585526487,88.0,-20.33,-40.29,25.56,1.5
Bredasdorp,8,ZA,1585526617,72.0,-34.53,20.04,16.0,2.6
Rodney,90,CA,1585526617,76.0,42.57,-81.68,9.44,10.3
Bubaque,0,GW,1585526399,70.0,11.28,-15.83,26.42,7.76
Busselton,48,AU,1585526619,89.0,-33.65,115.33,14.44,0.38
Cidreira,2,BR,1585526619,85.0,-30.18,-50.21,23.12,4.76
Rikitea,24,PF,1585526620,77.0,-23.12,-134.97,26.53,4.44
Butaritari,100,KI,1585526376,74.0,3.07,172.79,27.93,4.25
Gaimersheim,100,DE,1585526620,74.0,48.81,11.37,2.78,4.1
Aasiaat,100,GL,1585526620,98.0,68.71,-52.87,-3.94,1.64
Cecina,20,IT,1585526621,100.0,43.31,10.52,10.56,1.0
Half Moon Bay,75,US,1585526621,76.0,37.46,-122.43,17.0,3.1
Berlevåg,100,NO,1585526621,93.0,70.86,29.09,-5.26,12.67
Rusape,15,ZW,1585526622,61.0,-18.53,32.13,13.33,1.04
Elk Grove,40,US,1585526389,51.0,38.41,-121.37,19.0,3.1
León,40,MX,1585526504,17.0,21.12,-101.67,30.0,3.6
Kengyel,6,HU,1585526622,61.0,47.08,20.33,8.33,4.1
Antofagasta,79,CL,1585526623,77.0,-23.65,-70.4,18.0,4.1
Lata,98,PT,1585526623,87.0,40.16,-8.33,13.33,1.0
Aizawl,0,IN,1585526623,35.0,23.73,92.72,14.73,1.41
Hambantota,59,LK,1585526624,83.0,6.12,81.12,25.97,4.3
Bonavista,100,CA,1585526624,98.0,48.65,-53.11,-2.57,12.15
Port Macquarie,83,AU,1585526624,78.0,-31.43,152.92,26.11,3.96
Yellowknife,75,CA,1585526625,38.0,62.46,-114.35,-16.0,5.1
Tuatapere,0,NZ,1585526625,70.0,-46.13,167.68,17.78,2.68
Khatanga,100,RU,1585526625,92.0,71.97,102.5,-19.25,1.56
Ust-Maya,79,RU,1585526625,94.0,60.42,134.53,-8.6,0.72
Lichuan,91,CN,1585526626,64.0,30.3,108.85,5.25,0.74
Sisimiut,100,GL,1585526539,92.0,66.94,-53.67,-2.72,15.08
Manta,75,EC,1585526626,69.0,-0.95,-80.73,27.0,2.1
Uíge,99,AO,1585526627,72.0,-7.61,15.06,19.9,0.95
Opuwo,58,NA,1585526627,53.0,-18.06,13.84,21.26,1.74
San Ignacio,20,BZ,1585526628,41.0,17.16,-89.07,34.0,4.1
Kapaa,75,US,1585526386,69.0,22.08,-159.32,27.0,7.2
Upernavik,100,GL,1585526628,94.0,72.79,-56.15,-15.22,5.72
Oga,75,IT,1585526629,92.0,46.46,10.35,1.0,6.2
Ukiah,90,US,1585526629,71.0,39.15,-123.21,15.0,2.1
Arrondissement de Calais,75,FR,1585526629,55.0,50.92,1.83,5.56,5.1
Kahului,40,US,1585526629,54.0,20.89,-156.47,28.0,7.7
Hofn,21,IS,1585526630,63.0,64.25,-15.21,6.13,5.91
Bluff,5,NZ,1585526630,70.0,-46.6,168.33,17.78,2.68
Mabaruma,90,GY,1585526630,79.0,8.2,-59.78,24.83,3.19
Morant Bay,20,JM,1585526631,66.0,17.88,-76.41,29.0,9.8
Hualmay,98,PE,1585526631,74.0,-11.1,-77.61,23.16,2.43
Deputatsky,100,RU,1585526427,86.0,69.3,139.9,-18.27,2.43
Ballina,49,AU,1585526631,78.0,-28.87,153.57,24.0,1.59
Norman Wells,20,CA,1585526632,44.0,65.28,-126.83,-20.0,4.6
Broome,90,US,1585526632,100.0,42.25,-75.83,12.22,3.1
Bandarbeyla,11,SO,1585526632,74.0,9.49,50.81,26.06,2.02
Kabalo,75,CD,1585526632,81.0,-6.05,26.92,21.87,0.13
Bethel,90,US,1585526633,93.0,41.37,-73.41,9.0,1.52
Fare,59,PF,1585526634,75.0,-16.7,-151.02,28.76,4.67
Port Elizabeth,75,ZA,1585526420,63.0,-33.92,25.57,17.0,1.5
Srednekolymsk,7,RU,1585526388,94.0,67.45,153.68,-9.9,3.71
Marystown,41,CA,1585526635,94.0,47.17,-55.15,-2.54,9.48
Thompson,90,CA,1585526584,51.0,55.74,-97.86,-11.0,3.6
Jiwani,50,PK,1585526636,76.0,25.05,61.74,23.39,4.75
Saskylakh,64,RU,1585526636,87.0,71.92,114.08,-26.79,1.24
Santa Inês,79,BR,1585526636,94.0,-3.67,-45.38,24.43,1.52
Casambalangan,65,PH,1585526637,75.0,18.38,122.13,26.43,2.05
Departamento de Maldonado,20,UY,1585526637,100.0,-34.67,-54.92,21.67,1.5
Camacha,40,PT,1585526637,88.0,33.08,-16.33,17.0,3.6
Hermanus,4,ZA,1585526638,90.0,-34.42,19.23,13.89,0.45
Sinnamary,100,GF,1585526638,84.0,5.38,-52.95,26.38,5.41
Kaitangata,61,NZ,1585526638,88.0,-46.28,169.85,13.33,6.26
Lüderitz,0,NA,1585526638,82.0,-26.65,15.16,15.0,6.7
Dutlwe,38,BW,1585526639,55.0,-23.98,23.9,18.73,2.7
George Town,20,MY,1585526639,88.0,5.41,100.34,27.0,2.3
San Juan Bautista,75,PE,1585526639,30.0,-14.01,-75.74,22.0,6.7
Şahbuz,75,AZ,1585526639,81.0,39.41,45.57,8.0,5.1
